COUNTY,PARISH,RELIEF,INCOME,UNEMP,COTTIND,ALLOTMNT,LONDON,FARMERS,WORKHSE,CHILDALL,SUBSIDY,LABRATE,ROUNDSMN,GRAIN,DENSITY,WEALTH,POP
1,1,20.36,41.32,0.14,0,0,31.5,0.55,1,1,1,1,0,16.04,0.31,7.31,2140
1,2,29.09,32.74,0.07,1,1,31.5,0.33,0,1,0,0,0,13.54,0.21,3.9,206
1,5,14.93,30.99,0.05,0,1,31.5,0.18,1,0,0,0,0,11.81,0.24,3.5,1053
1,8,24.12,31.38,0.06,0,0,31.5,0.4,1,1,0,0,0,11.32,0.3,2.15,2602
1,10,18.21,32.74,0.03,0,1,31.5,0.21,1,0,0,0,0,13.2,0.25,4.64,901
1,11,20.73,32.74,0.1,0,1,31.5,0.74,1,1,0,0,0,13.78,0.38,3.49,1223
1,12,8.12,33.06,0.07,0,1,31.5,0.32,1,1,0,0,1,15.85,0.27,6.1,1140
1,13,14.02,35.47,0.01,0,0,31.5,0.11,1,1,0,0,0,12.39,0.45,3.73,1820
1,17,18.42,32.74,0.08,0,0,31.5,0.59,1,1,1,1,0,11.43,0.27,3.28,1432
1,18,34.55,32.23,0.26,0,1,31.5,0.31,1,1,0,1,0,14.47,0.31,4.46,866
1,19,16.09,37.19,0.1,0,0,31.5,0.21,1,1,0,1,0,8.89,0.24,5.13,701
1,22,24.62,27.89,0.06,0,0,31.5,0.44,1,1,0,0,0,15.54,0.28,3.25,2758
1,23,25.47,32.74,0.12,0,0,31.5,0.47,1,1,0,0,0,16.02,0.19,5.6,649
1,24,12.56,38.88,0.06,0,0,31.5,0.34,1,0,1,0,0,16.13,0.56,4.77,819
1,29,13.28,38.2,0.04,0,0,31.5,0.81,0,1,0,0,0,17.66,0.25,4.35,708
1,31,27.3,30.02,0.11,0,0,31.5,0.37,1,1,0,0,0,14.06,0.26,4.64,1011
1,34,29.61,30.99,0.09,0,0,31.5,0.64,1,1,1,1,0,17.56,0.26,4.37,2109
1,36,13.61,36.16,0.01,0,0,31.5,0.29,0,0,0,0,0,15,0.25,3.93,214
1,39,11.37,42.98,0.04,0,0,31.5,0.25,1,1,0,1,0,8.07,0.53,3.21,2124
1,45,21.52,42.87,0.03,0,0,31.5,0.8,0,0,0,0,1,17.76,0.26,3.88,311
1,49,20.94,35.47,0.05,0,1,31.5,0.35,1,1,0,0,0,10.79,0.37,4.62,3177
1,52,11.6,20.14,0.04,0,0,31.5,0.22,1,0,0,0,0,8.79,0.35,3.18,1985
1,55,18.24,36.84,0.04,0,0,31.5,0.4,1,1,0,0,0,16.08,0.41,4.46,724
1,56,37.88,38.88,0.06,0,1,31.5,0.89,1,1,0,0,1,11.36,0.31,5.73,1639
2,1,29.36,32.4,0.09,0,1,44.1,0.33,0,1,0,0,0,17.44,0.16,6.24,266
2,5,11.22,32.4,0.01,0,1,44.1,0.02,1,1,1,0,0,1.3,1.53,2.41,2803
2,6,36.08,29.7,0.04,0,0,44.1,0.22,1,1,0,1,0,11.34,0.18,3.6,931
2,7,16.02,32.4,0.09,0,1,44.1,0.25,1,1,0,0,0,10.04,0.38,3.38,2999
2,8,24.54,37.88,0.02,0,0,44.1,0.23,1,1,0,0,0,13.2,0.27,2.84,1477
2,10,34.33,32.4,0.09,0,0,44.1,0.39,1,1,0,0,1,12.94,0.24,3.45,1867
2,11,23.78,32.4,0.06,0,0,44.1,0.29,0,1,0,0,0,8.74,0.18,3.25,635
2,12,38.91,30.99,0.12,0,1,44.1,0.33,1,1,0,1,0,14.79,0.18,3.27,1046
2,13,24.54,32.02,0.1,0,0,44.1,0.38,1,1,0,0,0,10.31,0.29,2.8,1966
2,19,37.17,37.88,0.09,0,1,44.1,0.83,1,1,0,0,0,18.25,0.12,6.03,229
2,20,10.07,36.16,0.03,0,0,44.1,0.22,0,1,0,0,0,5.59,0.48,1.17,394
2,22,25.96,29.55,0.06,0,0,44.1,0.26,1,1,0,0,0,10.04,0.17,4.23,917
2,24,26.91,34.87,0.11,0,1,44.1,0.13,1,1,0,0,0,8.73,0.47,3.25,2726
2,27,15.59,24.79,0.21,0,1,44.1,0.44,1,1,1,0,1,7.09,0.32,2.56,1870
2,28,26.95,30.99,0.14,0,0,44.1,0.27,1,1,0,0,0,12.21,0.21,3.01,1468
2,29,18.44,32.4,0.07,0,1,44.1,0.34,1,1,1,0,0,7.46,0.22,2.29,2071
2,31,19.54,32.4,0.01,0,1,44.1,0.09,0,0,0,0,0,12.83,0.2,6.3,276
2,32,34.27,30.99,0.14,0,1,44.1,0.53,0,1,1,0,0,12.62,0.24,3.35,768
2,34,30.6,35.12,0.11,0,1,44.1,0.38,1,1,0,0,0,10.4,0.23,2.67,1445
2,35,25.49,38.22,0.04,0,1,44.1,0.39,1,1,0,0,0,10.27,0.24,6,608
2,36,17.43,30.99,0.05,0,1,44.1,0.49,1,1,0,0,0,12.25,0.17,3.44,1455
2,40,36.25,25.83,0.24,0,0,44.1,0.35,1,1,0,0,0,11.24,0.26,2.93,1504
2,41,30.42,30.99,0.16,0,0,44.1,0.19,1,1,0,0,0,10.87,0.27,3.82,1338
2,42,21.14,36.16,0.05,0,0,44.1,0.47,0,1,0,1,0,13.67,0.13,4.7,300
2,43,27.12,36.16,0.07,0,0,44.1,0.19,1,1,0,1,0,10.14,0.27,3.57,1484
2,44,21.43,35.12,0.09,0,0,44.1,0.29,1,1,0,1,0,10.53,0.24,2.76,916
2,53,22.8,36.16,0.06,0,0,44.1,0.18,1,1,0,0,0,11.71,0.35,2.17,1448
2,56,32.25,37.19,0.33,0,1,44.1,0.34,1,1,0,0,0,10.46,0.3,3.3,1979
2,57,34.98,30.99,0.11,0,1,44.1,0.19,1,1,1,0,0,12.57,0.21,6.15,1271
2,58,34.12,34.09,0.31,0,1,44.1,0.21,1,1,0,0,0,10.62,0.19,3.58,901
2,61,24.15,32.4,0.07,0,0,44.1,0.29,1,1,0,0,0,10.58,0.37,2.96,2204
2,65,23.34,32.4,0.03,0,0,44.1,0.33,0,0,0,0,0,16.64,0.12,8.26,231
2,68,24.6,32.54,0.1,0,0,44.1,0.5,0,1,1,0,0,11.1,0.2,4.34,519
2,70,25.85,30.99,0.24,0,0,44.1,0.46,1,1,0,0,0,11.56,0.2,3.43,597
2,72,10.98,38.74,0.02,0,0,44.1,0.34,1,1,0,0,0,11.98,0.32,2.36,2314
2,73,27.04,36.16,0.06,0,0,44.1,0.53,1,1,0,1,0,9.64,0.22,4.57,337
2,74,17.54,30.99,0.08,0,1,44.1,0.43,1,1,0,0,0,12.34,0.22,3.15,2256
2,76,30.18,32.4,0.14,0,0,44.1,0.43,1,1,1,0,0,14.29,0.2,3.61,938
2,80,47.59,26.86,0.09,0,0,44.1,0.16,0,1,0,0,0,11.65,0.17,7.98,603
2,82,29.94,30.99,0.04,0,1,44.1,0.77,1,1,0,0,0,16,0.11,5.39,296
2,83,19.12,31.05,0.05,0,1,44.1,0.41,1,1,0,0,0,12.71,0.18,3.3,1610
2,84,25.54,28.41,0.08,0,0,44.1,0.32,1,1,0,0,0,12.44,0.15,2.49,1859
3,1,12.61,32.96,0.03,0,0,37.8,0.27,1,1,0,0,0,17.61,0.43,4.27,1719
3,3,11.15,42.28,0.03,0,0,37.8,0.17,1,0,0,0,0,12.59,0.79,2.53,8036
3,6,11.83,30.9,0.04,1,0,37.8,0.02,1,1,0,0,0,6.67,1.37,1.31,3422
3,8,11.4,31.77,0.02,0,0,37.8,0.03,1,1,1,0,0,2.69,3.11,2.75,5435
3,9,6.74,30.49,0.02,0,0,37.8,0.09,1,0,0,0,0,1.42,1.66,2.91,798
3,10,26.95,25.75,0.25,0,0,37.8,0.56,1,1,0,0,0,24.88,0.68,5.47,1134
3,11,15.04,28.96,0.01,1,0,37.8,0.08,1,1,1,0,0,9.46,1.16,1.68,3227
3,13,25.35,27.72,0.05,0,0,37.8,0.59,1,1,0,0,0,20.67,0.26,5.79,611
3,21,15.32,29.45,0.01,0,1,37.8,0.42,1,1,0,0,0,16.72,0.47,3.88,2101
3,22,18.07,27.72,0.02,0,1,37.8,0.31,1,1,0,1,0,21.27,0.34,4.93,1313
3,25,35.03,22.18,0.19,0,0,37.8,0.18,0,1,1,1,0,29.2,0.31,3.67,414
3,26,15.82,26.78,0.01,0,0,37.8,0.47,1,1,0,0,0,18.03,1.18,6.65,789
3,27,7.9,30.9,0.22,0,1,37.8,0.62,1,1,0,0,0,19.98,0.71,3.89,1463
3,28,14.55,36.05,0.04,0,0,37.8,0.66,1,1,0,0,0,17.63,0.37,5.31,794
3,29,10.01,20.6,0.1,0,0,37.8,0.05,1,1,1,0,0,8.75,1.18,4.83,3323
3,33,15.36,37.49,0.02,0,0,37.8,0.37,1,1,0,0,0,17.03,0.91,2.96,2266
3,35,20.11,28.84,0.05,0,0,37.8,0.11,1,1,1,0,0,13.95,1.01,3.55,1256
3,36,10.39,28.84,0.04,0,0,37.8,0.11,1,1,0,0,0,10.16,1.29,4.47,4294
3,37,22.65,29.45,0.06,0,0,37.8,0.18,1,1,0,0,0,19.27,0.35,6.93,1055
3,38,10.95,27.81,0.01,0,1,37.8,0.21,1,1,0,0,0,17.57,0.59,4.08,1851
3,39,33.27,24.1,0.26,0,0,37.8,0.43,1,1,0,0,0,21.01,0.51,3.06,1434
3,40,15.51,29.11,0.06,1,0,37.8,0.52,1,1,1,0,0,22.57,0.39,3.6,895
3,41,10.3,31.88,0.03,0,0,37.8,0.53,1,0,0,0,0,20.22,0.38,6.02,290
3,42,23.74,26.31,0.09,0,0,37.8,0.4,1,1,0,0,0,16.66,0.39,3.41,2293
3,44,29.78,20.6,0.05,1,0,37.8,0.74,1,1,0,0,0,26.14,0.22,5.18,682
3,46,26.4,24.2,0.07,0,1,37.8,0.31,1,1,0,0,0,22.89,0.46,5.33,2013
3,47,19.41,30.9,0.06,0,1,37.8,0.28,0,1,1,0,0,20.49,0.2,5.82,674
3,49,15.42,33.06,0.01,0,0,37.8,0.24,0,1,0,0,0,21.44,0.37,3.49,549
4,1,42.65,28.61,0.18,0,0,66.15,0.57,1,1,0,0,1,18.92,0.21,4.55,340
4,2,15.79,30.9,0.1,0,1,66.15,0.47,0,1,1,0,0,22.19,0.34,4.63,514
4,3,47.31,33.12,0.14,0,0,66.15,0.7,1,1,0,0,0,23.3,0.12,10.78,182
4,4,12.4,26.26,0.01,0,1,66.15,0.14,1,0,0,0,0,14.86,0.44,4.52,367
4,5,10.42,30.11,0.03,0,1,66.15,0.05,1,1,0,1,0,5.01,2.22,2.07,3862
4,10,28.6,30.9,0.18,0,1,66.15,0.5,1,1,0,0,0,22.12,0.21,5.92,409
4,14,18.27,27.1,0.03,0,1,66.15,0.34,1,1,0,0,0,21.77,0.27,5.7,469
4,17,27.08,30.9,0.06,0,0,66.15,0.18,1,1,0,0,0,20.06,0.29,4.44,216
4,18,32.77,28.32,0.07,0,0,66.15,0.45,1,1,0,0,0,15.32,0.28,4.81,401
4,24,26.21,28.61,0.12,0,0,66.15,0.92,1,1,0,0,0,20.3,0.14,5.49,242
4,29,21.63,30.9,0.18,0,0,66.15,0.55,1,1,1,1,0,19.01,0.31,4.65,1158
4,32,20.34,28.61,0.09,0,0,66.15,0.35,1,1,0,0,0,19.97,0.28,5.83,406
4,34,20.39,34.81,0.03,0,1,66.15,0.41,1,1,0,0,0,20.66,0.3,3.18,979
4,36,21.32,35.02,0.32,0,0,66.15,0.58,1,1,1,0,0,22.17,0.16,5.86,315
4,40,21.86,36.14,0.13,0,0,66.15,0.83,1,1,0,0,0,15.76,0.16,6.29,147
4,42,29.51,25.75,0.2,0,0,66.15,0.73,1,1,0,0,0,17.57,0.49,3.46,1527
4,45,27.27,27.1,0.13,0,1,66.15,0.29,1,1,0,0,0,18.54,0.42,3.8,1167
4,48,15.77,30.11,0.12,0,0,66.15,0.44,0,1,0,1,0,23.07,0.26,19.08,158
4,49,24.37,39.15,0.01,0,0,66.15,0.33,1,0,0,1,0,19.96,0.09,4.78,202
5,2,11.65,26.78,0.09,0,1,63,0.19,0,0,0,0,0,20.92,0.38,3.44,1255
5,4,13.24,20.6,0.07,0,1,63,0.27,1,0,0,1,0,19.43,0.19,5.58,767
5,5,9.9,32.96,0.03,0,0,63,0.32,1,1,0,1,0,18.47,0.28,5.32,4177
5,6,17.55,27.74,0.09,0,1,63,0.9,0,0,0,0,0,20.39,0.28,5.01,574
5,8,11.59,33.47,0.02,0,0,63,0.44,0,1,0,0,0,19.53,0.12,9.53,919
5,10,15.7,30.9,0.12,0,1,63,0.42,0,1,0,0,0,22.48,0.24,2.95,547
5,11,12.76,29.87,0.05,0,0,63,0.28,0,1,0,0,0,20.52,0.33,2.82,1325
5,13,17.25,28.42,0.15,0,1,63,0.28,0,1,0,0,0,19.35,0.23,3.75,1207
5,15,13.96,29.09,0.01,0,0,63,0.2,0,1,0,0,0,17.27,0.38,3.76,562
5,16,18.52,15.45,0.21,0,1,63,0.4,0,1,0,0,0,21.56,0.34,3.94,784
5,18,22.29,25.75,0.12,1,1,63,0.14,1,1,1,0,0,10.49,0.46,1.86,1678
5,19,16.76,32.44,0.15,0,1,63,0.36,1,1,1,1,0,22.53,0.16,6.69,2644
5,21,9.5,29.87,0.08,0,1,63,0.51,0,0,1,1,0,15.52,0.34,1.84,1474
5,22,10.8,26.35,0.09,0,0,63,0.26,0,1,0,0,0,19.32,0.32,2.64,643
5,28,15.49,26.78,0.07,1,1,63,0.31,0,1,0,0,0,12.25,0.42,3.75,771
5,30,14.63,24.97,0.09,0,0,63,0.35,0,1,0,0,0,21.32,0.4,3.96,483
5,31,18.75,25.23,0.01,0,1,63,0.32,0,1,0,0,0,21.19,0.19,3.64,545
5,32,16.5,35.02,0.04,0,1,63,0.2,1,1,0,0,0,16.5,0.17,7.57,1362
5,33,23.36,33.47,0.01,0,0,63,0.59,1,1,0,1,0,18.08,0.12,9.98,2055
5,39,18.72,33.47,0.02,0,0,63,0.83,1,1,0,0,0,24.58,0.14,10.12,965
6,1,6.73,30.9,0.01,0,0,94.5,0.15,1,0,0,1,0,10.72,0.19,4.97,820
6,6,16.16,30.9,0.01,0,0,94.5,1,0,1,0,0,0,27.35,0.05,5.75,218
6,7,14.76,33.47,0.04,0,0,94.5,0.09,1,1,1,0,0,10.18,0.81,2.92,861
6,8,15.06,39.6,0.04,0,0,94.5,0.11,0,0,0,0,0,20.08,0.09,8.98,290
6,12,11,28.84,0.01,0,0,94.5,0.08,1,1,0,0,0,8.02,0.76,2.38,2198
6,15,29.09,30.07,0.05,0,1,94.5,0.15,1,1,1,0,0,12.65,0.31,4.2,958
6,18,11.82,30.8,0.03,0,0,94.5,0.75,1,0,0,0,0,23.59,0.16,7.47,183
6,25,16,27.87,0.06,0,0,94.5,0.11,1,1,0,1,0,6.88,1.11,3.18,1784
6,27,18.76,28.84,0.01,0,1,94.5,0.23,0,1,0,1,0,14.54,0.58,2.15,617
6,29,32.44,37.08,0.06,0,1,94.5,0.42,0,1,1,1,0,21.38,0.29,5.11,619
6,31,15.45,28.84,0.01,1,0,94.5,1,0,0,0,1,0,11.73,0.31,3.14,160
6,36,15.76,30.9,0.01,0,0,94.5,0.38,0,0,0,1,1,18.94,0.16,4.63,451
6,38,4.26,35.2,0.01,0,1,94.5,0.33,0,0,0,0,0,19.02,0.08,9.64,179
6,39,8.61,29.34,0.01,0,0,94.5,0.15,0,1,0,0,0,13.29,0.17,7.62,177
6,40,15.36,27.81,0.07,0,0,94.5,0.26,1,1,0,1,0,15.81,0.34,3.45,830
7,2,20.49,28,0.01,1,1,45.68,0.64,1,1,0,1,0,18.78,0.17,6.16,324
7,3,13.89,29,0.18,1,1,45.68,0.37,1,0,0,0,0,16.13,0.23,2.95,386
7,5,21.4,30.5,0.11,1,1,45.68,0.31,0,1,0,1,1,16.31,0.3,4.03,643
7,6,27.66,26,0.08,1,1,45.68,0.53,1,1,0,0,0,12.42,0.3,4.16,1571
7,7,35.75,24.86,0.26,1,1,45.68,0.6,1,1,0,1,0,16.76,0.32,4.4,814
7,11,20.82,30,0.1,1,1,45.68,0.48,0,1,0,0,0,16.34,0.2,3.71,563
7,12,13.74,24.86,0.03,1,1,45.68,0.2,0,1,1,1,0,12.22,0.26,4.28,754
